word, count
almost, 6
kill, 3
kills, 4
reasonable, 1
creature, 1
destroys, 1
image, 2
many, 36
lives, 1
burden, 2
precious, 2
master, 5
embalmed, 1
treasured, 1
purpose, 4
age, 3
restore, 1
revolutions, 1
oft, 4
recover, 2
loss, 3
rejected, 1
want, 1
nations, 3
wary, 1
therefore, 21
persecution, 2
raise, 1
spill, 1
seasoned, 1
preserved, 1
stored, 1
since, 8
homicide, 1
committed, 1
sometimes, 3
martyrdom, 1
extend, 1
impression, 1
execution, 2
ends, 1
slaying, 1
elemental, 1
strikes, 1
ethereal, 1
fifth, 1
essence, 1
breath, 2
slays, 1
immortality, 1
rather, 11
lest, 6
condemned, 4
introducing, 1
license, 2
oppose, 2
refuse, 1
pains, 1
historical, 1
serve, 4
ancient, 4
famous, 4
commonwealths, 2
disorder, 1
till, 11
project, 1
crept, 1
inquisition, 9
catched, 1
caught, 2
wits, 4
busier, 1
sorts, 2
writings, 5
magistrate, 5
cared, 1
take, 3
notice, 1
blasphemous, 1
atheistical, 1
protagoras, 1
judges, 2
areopagus, 1
commanded, 1
burnt, 5
banished, 3
territory, 1
begun, 3
confessing, 1
whether, 10
gods, 1
defaming, 2
decreed, 1
none, 5
traduced, 1
manner, 7
vetus, 1
comoedia, 1
whereby, 3
guess, 2
censured, 1
course, 4
quick, 3
enough, 7
cicero, 3
quell, 1
desperate, 1
atheists, 1
open, 5
way, 4
event, 3
sects, 10
opinions, 6
tending, 1
voluptuousness, 1
denying, 1
divine, 6
providence, 5
took, 10
read, 12
epicurus, 1
libertine, 1
school, 3
cyrene, 1
cynic, 1
impudence, 1
uttered, 5
questioned, 1
recorded, 2
comedians, 2
suppressed, 4
acting, 1
plato, 5
commended, 2
aristophanes, 2
loosest, 1
royal, 1
scholar, 1
dionysius, 3
commonly, 2
known, 7
excused, 2
holy, 6
chrysostom, 1
reported, 1
nightly, 1
studied, 1
author, 10
art, 6
cleanse, 1
scurrilous, 1
vehemence, 1
style, 1
rousing, 2
leading, 3
city, 11
lacedaemon, 1
considering, 1
lycurgus, 1
lawgiver, 2
addicted, 2
ionia, 1
scattered, 3
works, 2
homer, 1
sent, 3
poet, 3
thales, 1
crete, 1
prepare, 2
mollify, 1
spartan, 1
surliness, 1
smooth, 1
songs, 1
odes, 1
plant, 1
law, 10
civility, 1
wondered, 1
museless, 1
unbookish, 1
minding, 1
nought, 1
feats, 1
needed, 1
disliked, 1
laconic, 1
apophthegms, 1
slight, 3
occasion, 2
chase, 1
archilochus, 1
composing, 1
higher, 2
strain, 1
soldierly, 1
ballads, 1
roundels, 1
reach, 2
broad, 1
verses, 1
therein, 1
cautious, 1
dissolute, 2
promiscuous, 1
whence, 2
euripides, 1
affirms, 1
andromache, 1
women, 1
give, 11
us, 56
light, 12
prohibited, 6
romans, 1
trained, 1
military, 1
roughness, 1
resembling, 1
lacedaemonian, 1
guise, 1
knew, 7
twelve, 1
tables, 1
pontific, 1
college, 1
augurs, 1
flamens, 1
taught, 5
religion, 12
unacquainted, 1
carneades, 1
critolaus, 1
stoic, 1
diogenes, 1
coming, 1
ambassadors, 1
rome, 3
thereby, 2
taste, 1
philosophy, 2
suspected, 3
seducers, 2
less, 12
cato, 1
censor, 2
senate, 1
dismiss, 1
banish, 2
attic, 1
babblers, 1
scipio, 1
noblest, 1
senators, 1
withstood, 1
sabine, 1
honoured, 2
admired, 1
fell, 5
naevius, 2
plautus, 2
latin, 1
filled, 1
borrowed, 1
scenes, 1
menander, 1
began, 2
quickly, 2
cast, 3
prison, 2
unbridled, 1
pen, 2
released, 1
tribunes, 1
libels, 1
makers, 1
punished, 1
severity, 1
impiously, 1
esteemed, 1
except, 8
points, 4
kept, 2
lucretius, 1
impeachment, 1
versifies, 1
epicurism, 1
memmius, 1
second, 3
father, 1
although, 4
disputes, 2
opinion, 8
satirical, 1
sharpness, 1
naked, 1
plainness, 1
lucilius, 1
catullus, 1
flaccus, 1
matters, 7
story, 3
titus, 1
livius, 1
pompey, 1
held, 3
octavius, 1
caesar, 2
naso, 1
wanton, 3
poems, 3
youth, 6
mere, 4
covert, 1
secret, 1
besides, 5
hence, 2
meet, 1
else, 10
empire, 1
marvel, 2
often, 3
bad, 5
deem, 1
large, 3
producing, 1
ancients, 1
punishable, 1
save, 1
arguments, 4
treat, 1
emperors, 1
become, 6
christians, 3
discipline, 5
point, 3
severe, 1
formerly, 1
grand, 1
heretics, 3
examined, 2
refuted, 1
authority, 6
heathen, 3
authors, 3
plain, 6
invectives, 1
christianity, 1
porphyrius, 1
proclus, 1
met, 1
interdict, 1
cited, 1
year, 5
carthaginian, 1
council, 3
bishops, 6
forbid, 5
gentiles, 1
heresies, 2
contrary, 2
scrupled, 1
primitive, 2
councils, 1
commendable, 1
passing, 2
leaving, 2
conscience, 9
observed, 1
padre, 1
paolo, 1
unmasker, 1
trentine, 1
popes, 1
engrossing, 1
political, 2
rule, 3
hands, 8
extended, 2
dominion, 2
eyes, 6
judgments, 1
burning, 2
prohibiting, 5
fancied, 2
sparing, 1
censures, 1
dealt, 2
martin, 2
bull, 1
excommunicated, 1
heretical, 3
wickliffe, 1
huss, 1
growing, 1
terrible, 1
drove, 1
papal, 1
stricter, 1
policy, 3
leo, 1
successors, 1
followed, 1
trent, 2
spanish, 3
engendering, 1
together, 10
perfected, 1
catalogues, 1
expurging, 1
indexes, 1
rake, 1
entrails, 1
violation, 1
worse, 5
offered, 3
palate, 1
prohibition, 3
straight, 3
purgatory, 1
fill, 1
measure, 3
encroachment, 1
invention, 4
ordain, 3
peter, 2
bequeathed, 2
keys, 2
press, 7
glutton, 1
chancellor, 3
cini, 1
present, 5
work, 8
contained, 1
withstand, 1
vincent, 2
rabbatta, 2
vicar, 2
seen, 6
athwart, 1
catholic, 1
faith, 10
witness, 3
given, 2
nicolo, 2
gini, 1
attending, 1
precedent, 2
relation, 1
