word, count
princeton, 6
summer, 1
smelled, 4
nothing, 2
although, 1
ifemelu, 2
liked, 4
tranquil, 1
greenness, 1
ofthe, 1
many, 2
trees, 1
clean, 1
streets, 1
stately, 1
homes, 1
delicately, 1
overpriced, 1
shops, 1
quiet, 1
abiding, 1
air, 1
earned, 1
grace, 1
lack, 1
smell, 1
appealed, 1
perhapsbecause, 1
american, 8
cities, 1
knew, 3
well, 2
philadelphia, 1
themusty, 1
scent, 1
new, 3
baltimore, 1
brine, 1
brooklyn, 2
taking, 2
deep, 1
breaths, 1
likedwatching, 1
locals, 2
drove, 1
pointed, 1
courtesy, 1
parked, 1
latest, 1
model, 1
cars, 1
outside, 4
theorganic, 1
grocery, 1
store, 1
nassau, 1
street, 1
sushi, 1
restaurants, 1
ice, 3
creamshop, 1
fifty, 1
different, 1
flavors, 1
including, 1
red, 1
pepper, 1
post, 7
office, 1
effusive, 1
staffbounded, 1
greet, 1
campus, 1
grave, 1
knowledge, 2
gothicbuildings, 1
walls, 1
way, 2
everything, 1
transformed, 1
night, 2
ghostly, 1
place, 3
affluent, 1
ease, 1
could, 8
pretend, 2
besomeone, 1
else, 1
someone, 2
specially, 1
admitted, 1
hallowed, 1
club, 1
adorned, 1
like, 11
go, 1
trenton, 1
braid, 2
unreasonable, 1
expect, 1
abraiding, 1
salon, 1
black, 7
seen, 1
imagine, 1
wearing, 1
braids, 1
yet, 6
waited, 1
junctionstation, 1
train, 7
afternoon, 1
ablaze, 1
heat, 1
wondered, 2
whereshe, 1
chocolate, 1
bar, 1
handbag, 1
people, 6
werewaiting, 1
platform, 2
white, 5
lean, 1
short, 2
flimsy, 2
man, 6
standing, 2
closestto, 1
eating, 4
cream, 2
always, 4
found, 1
little, 1
irresponsible, 1
icecream, 1
cones, 2
men, 3
especially, 1
tur, 1
ned, 1
said, 7
time, 3
finally, 1
creaked, 1
familiarity, 1
strangers, 2
adopt, 1
sharing, 1
disappointment, 1
smiled, 1
graying, 1
hair, 2
back, 7
head, 1
swept, 1
forward, 2
comicalarrangement, 1
disguise, 1
bald, 1
academic, 1
humanities, 1
hewould, 1
firm, 1
science, 1
chemistry, 1
would, 10
peculiar, 1
expression, 1
professed, 1
agreement, 1
rather, 1
andthen, 1
started, 1
conversation, 3
see, 1
say, 4
something, 5
coulduse, 1
flattered, 1
asked, 3
afterthey, 1
spoke, 1
made, 2
conditioned, 1
fill, 1
vaguely, 1
write, 3
lifestyle, 1
blog, 6
saying, 2
anonymous, 1
called, 1
raceteenth, 1
various, 1
observations, 1
blacks, 1
formerly, 1
known, 1
make, 2
though, 3
dreadlocked, 2
sat, 2
next, 2
old, 1
twine, 1
ropesthat, 1
ended, 2
blond, 1
fuzz, 1
tattered, 1
shirt, 1
worn, 1
enough, 1
piety, 1
convince, 1
social, 1
warrior, 1
might, 1
good, 4
guest, 1
totally, 1
overhyped, 1
days, 2
blackpeople, 1
need, 3
get, 1
class, 1
haves, 1
nots, 1
toldher, 1
evenly, 1
used, 3
opening, 1
sentence, 1
titled, 1
guys, 1
ohio, 2
squeezed, 1
middle, 2
manager, 1
sure, 2
boxy, 1
suit, 1
contrast, 1
wanted, 3
know, 2
meant, 1
told, 4
expecting, 1
become, 2
reserved, 1
endthe, 1
defensively, 1
bland, 1
race, 1
matters, 1
human, 1
nobody, 1
wants, 1
babies, 1
country, 1
mean, 2
biracial, 1
even, 1
families, 1
want, 1
wife, 1
adopted, 1
child, 1
neighbors, 1
looked, 4
chosen, 1
martyrs, 1
dubious, 1
dressed, 1
managers, 1
think, 2
received, 1
highest, 1
number, 1
comments, 3
still, 3
read, 2
hoped, 1
sit, 1
airports, 1
stations, 1
watching, 1
imagining, 1
lives, 2
wondering, 1
likely, 1
writtenthe, 1
final, 1
ago, 2
trailed, 1
two, 1
hundred, 1
thosereaders, 1
growing, 1
month, 3
linking, 1
knowing, 2
much, 1
frightened, 1
exhilarated, 1
sapphicderrida, 2
one, 3
frequent, 1
posters, 1
bit, 1
surprised, 2
personally, 1
luck, 1
pursue, 1
please, 1
come, 1
blogosphere, 1
irreverent, 1
hectoring, 1
funny, 1
voice, 1
create, 1
space, 1
real, 1
conversations, 1
important, 1
readers, 1
reeled, 1
statistics, 1
words, 2
nervous, 1
eager, 1
fresh, 1
impress, 1
began, 2
feel, 1
vulture, 1
hacking, 1
carcasses, 1
stories, 1
sometimes, 3
making, 1
fragile, 1
links, 1
believing, 1
wrote, 1
theless, 1
scraped, 1
scale, 1
self, 1
felt, 7
naked, 1
beside, 1
discourage, 1
staredfixedly, 1
brown, 1
stain, 1
near, 1
feet, 1
spilled, 1
frozen, 1
frappuccino, 1
arrived, 1
crowded, 1
fat, 1
startled, 1
difference, 1
minutes, 1
travel, 1
first, 4
year, 1
america, 2
tooknew, 1
jersey, 1
transit, 1
penn, 1
station, 1
subway, 1
visit, 1
aunty, 1
uju, 1
flatlands, 1
wasstruck, 1
mostly, 3
slim, 1
got, 1
stops, 1
manhattan, 1
went, 1
left, 1
thought, 3
tho, 1
ught, 1
things, 1
friend, 1
ginika, 1
herwas, 1
bad, 1
word, 3
heaving, 1
moral, 1
judgment, 1
andnot, 1
mere, 1
description, 1
banished, 1
came, 1
last, 3
winter, 1
almost, 2
thirteen, 1
years, 4
line, 1
behind, 1
supermarket, 2
muttered, 1
shit, 1
paid, 1
giant, 1
bag, 1
glanced, 1
mildly, 1
offended, 1
perfect, 1
stranger, 2
decided, 1
file, 1
tag, 1
gender, 1
home, 3
stood, 1
faced, 1
truth, 1
realized, 1
ignored, 2
long, 1
tightness, 1
clothes, 2
rubbing, 1
together, 2
inner, 1
thighs, 1
softer, 1
rounder, 1
parts, 1
shook, 1
slowly, 1
funneling, 1
thingsshe, 1
learned, 1
aloud, 1
curvy, 1
wasfat, 1
cement, 2
wasdoing, 1
thousands, 1
unique, 1
visitors, 1
earning, 1
speaking, 1
fees, 1
fellowship, 3
relationship, 2
blaine, 5
absolute, 1
love, 2
ofmy, 1
life, 1
written, 1
birthday, 1
beenthere, 1
early, 1
morning, 1
disease, 1
fatigue, 1
bleakness, 1
broughtwith, 1
amorphous, 1
longings, 1
shapeless, 1
desires, 1
brief, 1
imaginary, 1
glints, 1
beliving, 1
months, 2
melded, 1
piercing, 1
scoured, 1
nigerian, 3
websites, 1
profiles, 1
facebook, 1
blogs, 1
click, 1
brought, 1
another, 1
story, 1
youngperson, 1
recently, 1
moved, 1
clothed, 1
british, 1
degrees, 1
start, 1
aninvestment, 1
company, 1
music, 1
production, 1
business, 1
fashion, 1
label, 1
magazine, 1
photographs, 1
women, 1
dull, 1
ache, 1
loss, 2
asthough, 1
prised, 1
open, 1
hand, 1
taken, 1
living, 1
became, 1
supposed, 1
sink, 1
roots, 1
withoutthe, 1
constant, 1
urge, 1
tug, 1
shake, 1
course, 1
also, 2
herfirst, 1
lover, 1
person, 1
never, 2
explain, 1
hewas, 1
husband, 1
father, 1
touch, 1
part, 1
homesickness, 1
often, 1
sifting, 1
throughtheir, 1
past, 1
looking, 2
portents, 1
rude, 1
problems, 1
wrestling, 1
haggardand, 1
intended, 1
offend, 1
instead, 1
prodded, 1
plan, 1
dream, 1
apply, 1
jobs, 1
tell, 2
becauseshe, 1
finish, 1
tellhim, 1
give, 3
weeks, 1
passed, 1
moving, 1
added, 1
hear, 1
sound, 1
automatically, 1
stunned, 1
announcement, 1
hisliving, 1
room, 1
awash, 1
soft, 1
jazz, 1
daylight, 1
bewildered, 1
day, 2
take, 1
sad, 1
epic, 1
lived, 1
three, 3
free, 1
crease, 1
smoothly, 1
ironed, 1
sheet, 1
fight, 2
eyes, 1
froze, 1
blame, 1
refused, 1
speak, 1
survived, 1
barack, 1
obama, 1
bonding, 1
anew, 1
shared, 1
election, 1
befo, 1
kissed, 1
face, 1
wet, 1
tears, 1
held, 1
tightly, 1
victory, 1
personal, 1
telling, 1
taught, 1
ideas, 1
nuance, 1
complexity, 1
classes, 1
askingher, 1
single, 1
reason, 1
bold, 1
epiphany, 1
