Word, Count
princeton, 6
summer, 1
smelled, 4
nothing, 2
although, 1
ifemelu, 2
liked, 4
tranquil, 1
greenness, 1
ofthe, 1
many, 2
trees, 1
clean, 1
streets, 1
stately, 1
homes, 1
delicately, 1
overpriced, 1
shops, 1
quiet, 1
abiding, 1
air, 1
earned, 1
grace, 1
lack, 1
smell, 2
appealed, 1
perhapsbecause, 1
american, 8
cities, 1
knew, 3
well, 2
distinctly, 1
philadelphia, 1
themusty, 1
scent, 1
history, 1
new, 3
neglect, 1
baltimore, 1
brine, 1
brooklyn, 2
ofsun-warmed, 1
garbage, 1
taking, 2
deep, 1
breaths, 1
likedwatching, 1
locals, 2
drove, 1
pointed, 1
courtesy, 1
parked, 1
latest, 1
model, 1
cars, 1
outside, 4
theorganic, 1
grocery, 1
store, 1
nassau, 1
street, 1
sushi, 1
restaurants, 1
ice, 3
creamshop, 1
fifty, 1
different, 1
flavors, 1
including, 1
red, 1
pepper, 1
post, 7
office, 1
effusive, 1
staffbounded, 1
greet, 1
entrance, 1
campus, 1
grave, 1
knowledge, 2
gothicbuildings, 1
vine-laced, 1
walls, 1
way, 2
everything, 1
transformed, 1
half-light, 1
night, 2
ghostly, 1
scene, 1
place, 3
affluent, 1
ease, 1
could, 8
pretend, 2
besomeone, 1
else, 1
someone, 2
specially, 1
admitted, 1
hallowed, 1
club, 1
adorned, 1
withcertainty.but, 1
like, 11
go, 1
trenton, 2
braid, 2
hair, 4
unreasonable, 1
expect, 1
abraiding, 1
salon, 1
—, 4
black, 8
seen, 1
light-skinned, 1
lank-haired, 1
imagine, 1
wearing, 1
braids, 1
yet, 6
waited, 1
junctionstation, 1
train, 7
afternoon, 1
ablaze, 1
heat, 1
wondered, 2
whereshe, 1
chocolate, 1
bar, 1
handbag, 1
melted, 1
people, 6
werewaiting, 1
platform, 2
white, 5
lean, 1
short, 2
flimsy, 2
clothes, 4
man, 6
standing, 2
closestto, 1
eating, 4
cream, 2
cone, 1
always, 4
found, 1
little, 1
irresponsible, 1
icecream, 1
cones, 2
grown-up, 2
men, 3
especially, 1
public, 1
tur, 1
ned, 1
said, 7
“about, 1
time, 3
�, 14
finally, 1
creaked, 1
familiarity, 1
strangers, 2
adopt, 1
sharing, 1
disappointment, 1
publicservice, 1
smiled, 1
graying, 1
back, 7
head, 1
swept, 1
forward, 2
comicalarrangement, 1
disguise, 1
bald, 1
spot, 1
academic, 1
humanities, 1
hewould, 1
self, 2
conscious, 1
firm, 1
science, 1
chemistry, 1
maybe, 1
would, 10
“iknow, 1
peculiar, 1
expression, 1
professed, 1
agreement, 1
rather, 1
andthen, 1
started, 1
conversation, 3
see, 1
say, 4
something, 5
coulduse, 1
blog, 8
flattered, 1
asked, 4
afterthey, 1
spoke, 1
made, 3
conditioned, 1
fill, 1
silences, 1
vaguely, 1
“i, 3
write, 3
lifestyle, 1
saying, 2
anonymous, 1
called, 1
raceteenth, 1
various, 1
observations, 1
blacks, 1
formerly, 1
known, 1
negroes, 1
non-american, 1
make, 2
uncomfortable, 1
though, 4
times, 1
dreadlocked, 2
sat, 2
next, 2
old, 1
twine, 1
ropesthat, 1
ended, 2
blond, 1
fuzz, 1
tattered, 1
shirt, 1
worn, 1
enough, 1
piety, 1
convince, 1
social, 1
warrior, 1
might, 1
good, 4
guest, 1
blogger, 1
“race, 2
totally, 1
overhyped, 1
days, 2
blackpeople, 1
need, 3
get, 1
it’s, 1
class, 1
haves, 1
nots, 1
toldher, 1
evenly, 1
used, 3
opening, 1
sentence, 1
titled, 1
“not, 1
guys, 1
down.�, 1
ohio, 2
squeezed, 1
flight, 1
middle, 2
manager, 1
sure, 4
boxy, 1
suit, 1
contrast, 1
collar, 1
wanted, 4
know, 2
meant, 1
“lifestyle, 1
told, 4
expecting, 1
become, 2
reserved, 1
endthe, 1
defensively, 1
bland, 1
“the, 1
race, 2
matters, 1
human, 1
race.�, 1
“ever, 1
adoption, 1
nobody, 1
wants, 1
babies, 1
country, 1
don’t, 3
mean, 2
biracial, 1
even, 1
families, 1
want, 1
them.�, 1
wife, 1
adopted, 1
child, 1
neighbors, 1
looked, 4
chosen, 1
martyrs, 1
dubious, 1
cause, 3
“badly, 1
, 2
dressed, 1
managers, 1
think, 2
received, 1
highest, 1
number, 1
comments, 3
month, 4
still, 3
read, 2
hoped, 1
so.often, 1
sit, 1
caf�s, 1
airports, 1
stations, 1
watching, 1
imagining, 1
lives, 2
wondering, 1
likely, 1
ex-blog, 1
writtenthe, 1
final, 1
ago, 2
trailed, 1
two, 1
hundred, 1
seventy-four, 1
far, 1
thosereaders, 1
growing, 1
linking, 1
cross-posting, 1
knowing, 2
much, 1
did;they, 1
frightened, 1
exhilarated, 1
sapphicderrida, 2
one, 3
frequent, 1
posters, 1
wrote, 2
i’m, 1
bit, 1
surprised, 2
personally, 1
luck, 1
pursue, 1
unnamed“life, 1
change�, 1
please, 1
come, 1
blogosphere, 1
soon, 1
you’ve, 1
irreverent, 1
hectoring, 1
funny, 1
thought-provoking, 1
voice, 1
create, 1
space, 1
real, 1
conversations, 1
important, 1
subject, 1
readers, 1
reeled, 1
statistics, 1
words, 2
“reify�, 1
nervous, 1
eager, 1
fresh, 1
impress, 1
began, 2
feel, 1
vulture, 1
hacking, 1
carcasses, 1
people’s, 1
stories, 1
use, 1
sometimes, 3
making, 1
fragile, 1
links, 1
believing, 1
theless, 1
became, 2
scraped, 1
scale, 1
felt, 7
naked, 1
andfalse.the, 1
ice-cream-eating, 1
beside, 1
discourage, 1
staredfixedly, 1
brown, 1
stain, 1
near, 1
feet, 1
spilled, 1
frozen, 1
frappuccino, 1
arrived, 1
crowded, 1
fat, 5
startled, 1
difference, 1
minutes, 1
travel, 1
first, 4
year, 1
america, 3
tooknew, 1
jersey, 1
transit, 1
penn, 1
station, 1
subway, 1
visit, 1
aunty, 1
uju, 1
flatlands, 1
wasstruck, 1
mostly, 3
slim, 1
got, 1
stops, 1
manhattan, 1
went, 1
left, 1
thought, 3
“fat, 2
tho, 1
ught, 1
“big, 1
things, 1
friend, 1
ginika, 1
herwas, 1
“fat�, 4
bad, 1
word, 3
heaving, 1
moral, 1
judgment, 1
“stupid�, 1
“bastard, 1
andnot, 1
mere, 1
description, 1
“short�, 1
“tall.�, 1
banished, 1
vocabulary, 1
came, 1
last, 3
winter, 1
almost, 2
thirteen, 1
years, 4
line, 1
behind, 1
supermarket, 2
muttered, 1
shit, 1
paid, 1
giant, 1
bag, 1
tostitos, 1
glanced, 1
mildly, 1
offended, 1
perfect, 1
stranger, 2
decided, 1
file, 1
tag, 1
gender, 1
bodysize.�, 1
home, 3
stood, 1
faced, 1
mirror’s, 1
truth, 1
realized, 1
ignored, 2
long, 1
tightness, 1
rubbing, 1
together, 2
inner, 1
thighs, 1
softer, 1
rounder, 1
parts, 1
shook, 1
moved, 2
slowly, 1
funneling, 1
thingsshe, 1
learned, 1
aloud, 1
curvy, 1
big-boned, 1
wasfat, 1
true, 1
cement, 2
soul, 2
wasdoing, 1
thousands, 1
unique, 1
visitors, 1
earning, 1
speaking, 1
fees, 1
fellowship, 3
relationship, 2
blaine, 5
—“you, 1
absolute, 1
love, 2
ofmy, 1
life, 1
he’d, 1
written, 1
birthday, 1
card—, 1
beenthere, 1
early, 1
morning, 1
disease, 1
fatigue, 1
bleakness, 1
borderlessness, 1
broughtwith, 1
amorphous, 1
longings, 1
shapeless, 1
desires, 1
brief, 1
imaginary, 1
glints, 1
beliving, 1
months, 2
melded, 1
piercing, 1
homesickness, 2
scoured, 1
nigerian, 3
websites, 1
profiles, 1
facebook, 1
blogs, 1
click, 1
brought, 1
another, 1
story, 1
youngperson, 1
recently, 1
clothed, 1
british, 1
degrees, 1
start, 1
aninvestment, 1
company, 1
music, 1
production, 1
business, 1
fashion, 1
label, 1
magazine, 1
fast-foodfranchise, 1
photographs, 1
women, 1
dull, 1
ache, 1
loss, 2
asthough, 1
prised, 1
open, 1
hand, 1
taken, 1
living, 1
life.nigeria, 1
supposed, 1
